# direction     parameterid     parametervalue
Parallel        D1              12
Parallel        D2              20
Parallel        1               0.0
Parallel        2               0.0
Parallel        3               0.0
Parallel        4               0.0
Parallel        5               0.0
Parallel        6               0.0
Parallel        7               0.0
Parallel        8               0.00027854104007754
Parallel        9               0.000140425234198555
Parallel        10              0.0
Parallel        11              0.0
Parallel        12              0.000224431213442171
Parallel        13              -0.0015
Parallel        14              0.000156948372856325
Parallel        15              0.000332539222064052
Parallel        16              0.00543011016122382
Parallel        17              23.17063480708
Antiparallel    D1              12
Antiparallel    D2              20
Antiparallel    1               0.0
Antiparallel    2               0.0
Antiparallel    3               0.32388260039562
Antiparallel    4               0.040081709499132
Antiparallel    5               0.0770651938627917
Antiparallel    6               0.0557600858114643
Antiparallel    7               0.0259708316373683
Antiparallel    8               0.0143234137641394
Antiparallel    9               0.010936110263763
Antiparallel    10              0.00902218416622463
Antiparallel    11              0.00677948219239913
Antiparallel    12              0.00524744200935951
Antiparallel    13              0.00998939540026897
Antiparallel    14              -0.000356468484357611
Antiparallel    15              0.000353103023625453
Antiparallel    16              0.0029686410326206
Antiparallel    17              97.4717305571486
