### Antiparallel
Antiparallel	  H	  H	                 end	0.035541
Antiparallel	  H	  H	             bulgej0	0.000000
Antiparallel	  H	  H	             bulgej1	0.000000
Antiparallel	  H	  H	             bulgej2	0.000000
Antiparallel	  H	  H	            internal	0.000000
Antiparallel	  H	  H	          background	0.902397
Antiparallel	  H	  H	                last	0.000000
Antiparallel	  H	  H	               first	0.000000
Antiparallel	  H	  H	             bulgei1	0.000000
Antiparallel	  H	  H	             bulgei0	0.000000
Antiparallel	  H	  H	             bulgei2	0.000000
Antiparallel	  H	  C	                 end	0.035541
Antiparallel	  H	  C	             bulgej0	0.000000
Antiparallel	  H	  C	             bulgej1	0.000000
Antiparallel	  H	  C	             bulgej2	0.000000
Antiparallel	  H	  C	            internal	0.000000
Antiparallel	  H	  C	          background	0.101935
Antiparallel	  H	  C	                last	0.000000
Antiparallel	  H	  C	               first	0.000000
Antiparallel	  H	  C	             bulgei1	0.000000
Antiparallel	  H	  C	             bulgei0	0.000000
Antiparallel	  H	  C	             bulgei2	0.000000
Antiparallel	  H	  E	                 end	0.035524
Antiparallel	  H	  E	             bulgej0	0.000000
Antiparallel	  H	  E	             bulgej1	0.000000
Antiparallel	  H	  E	             bulgej2	0.000000
Antiparallel	  H	  E	            internal	0.000000
Antiparallel	  H	  E	          background	0.011373
Antiparallel	  H	  E	                last	0.000000
Antiparallel	  H	  E	               first	0.000000
Antiparallel	  H	  E	             bulgei1	0.000000
Antiparallel	  H	  E	             bulgei0	0.000000
Antiparallel	  H	  E	             bulgei2	0.000000
Antiparallel	  C	  H	                 end	0.701939
Antiparallel	  C	  H	             bulgej0	0.000000
Antiparallel	  C	  H	             bulgej1	0.000000
Antiparallel	  C	  H	             bulgej2	0.000000
Antiparallel	  C	  H	            internal	0.000000
Antiparallel	  C	  H	          background	0.093778
Antiparallel	  C	  H	                last	0.000000
Antiparallel	  C	  H	               first	0.000000
Antiparallel	  C	  H	             bulgei1	0.000000
Antiparallel	  C	  H	             bulgei0	0.000000
Antiparallel	  C	  H	             bulgei2	0.000000
Antiparallel	  C	  C	                 end	0.701939
Antiparallel	  C	  C	             bulgej0	0.000000
Antiparallel	  C	  C	             bulgej1	0.000000
Antiparallel	  C	  C	             bulgej2	0.000000
Antiparallel	  C	  C	            internal	0.000000
Antiparallel	  C	  C	          background	0.786927
Antiparallel	  C	  C	                last	0.000000
Antiparallel	  C	  C	               first	0.000000
